sentiment,review_text,review_text_original,review_text_encoding_fixed,review_text_cleaned,encoding_changed,contraction_changed,non_english_words
Negative,but low pay basic salary,but low pay basic salary,but low pay basic salary,but low pay basic salary,False,False,[]
Negative,always overtime,always overtime,always overtime,always overtime,False,False,[]
Negative,need to do a lot of overtime but intern trainee did not get paid overtime,need to do a lot of ot but intern/trainee did not get paid ot.,need to do a lot of ot but intern/trainee did not get paid ot.,need to do a lot of ot but intern/trainee did not get paid ot.,False,False,[]
Negative,tracker in place to track everyoneâs task,tracker in place to track everyoneâs task.,tracker in place to track everyone's task.,tracker in place to track everyone is task.,True,True,[]
Negative,they take their time to answer my question,they take their time to answer my question.,they take their time to answer my question.,they take their time to answer my question.,False,False,[]
Negative,need to achieve a high key performance indicator with changing directions from upper management,need to achieve a high kpi with changing directions from upper management.,need to achieve a high kpi with changing directions from upper management.,need to achieve a high kpi with changing directions from upper management.,False,False,[]
Positive,it the largest bank in placename,it's the largest bank in malaysia.,it's the largest bank in malaysia.,it is the largest bank in malaysia.,False,True,[]
Negative,expect one hour talk to persuade you work hard,expect one hour talk to persuade you work hard.,expect one hour talk to persuade you work hard.,expect one hour talk to persuade you work hard.,False,False,[]
Negative,pushes us to the limit but suddenly change the commissioning structure,pushes us to the limit but suddenly change the comissioning structure,pushes us to the limit but suddenly change the comissioning structure,pushes us to the limit but suddenly change the comissioning structure,False,False,[]
Positive,can learn something,can learn something,can learn something,can learn something,False,False,[]
Positive,benefits basic salary meets the market range,benefits: - basic salary meets the market range.,benefits: - basic salary meets the market range.,benefits: - basic salary meets the market range.,False,False,[]
Negative,company got a lot of profit every year must increase salary also the cost living there very high,"company got a lot of profit every year, must increase salary & also the cost living there very high.","company got a lot of profit every year, must increase salary & also the cost living there very high.","company got a lot of profit every year, must increase salary & also the cost living there very high.",False,False,[]
Positive,freestyle working environment,freestyle working environment.,freestyle working environment.,freestyle working environment.,False,False,[]
Negative,in term of management they want feedback but doesnt improve,"in term of management, they want feedback but doesnt improve .","in term of management, they want feedback but doesnt improve .","in term of management, they want feedback but does not improve .",False,True,[]
Negative,none pros factor,none pros factor,none pros factor,none pros factor,False,False,[]
Positive,while it is a stable organization,"while it is a stable organization, ","while it is a stable organization, ","while it is a stable organization, ",False,False,[]
Positive,you will learn how to manage your time management skills,you will learn how to manage your time management skills.,you will learn how to manage your time management skills.,you will learn how to manage your time management skills.,False,False,[]
Positive,no overtime overall not bad,no ot overall not bad,no ot overall not bad,no ot overall not bad,False,False,[]
Positive,overall good,overall good.,overall good.,overall good.,False,False,[]
Positive,summary overall quite good,summary overall quite good,summary overall quite good,summary overall quite good,False,False,[]
Negative,sales target is too high and management will push you to hit every month,sales target is too high and management will push you to hit every month.,sales target is too high and management will push you to hit every month.,sales target is too high and management will push you to hit every month.,False,False,[]
Negative,require staffs to stay back but wont pay for overtime,require staffs to stay back but wont pay for overtime,require staffs to stay back but wont pay for overtime,require staffs to stay back but will not pay for overtime,False,True,[]
Negative,traditional change averse company,traditional & change-averse company,traditional & change-averse company,traditional & change-averse company,False,False,[]
Negative,you have to give full commitment to this organisation even in weekend especially when you are involve in marketing scope,you have to give full commitment to this organisation even in weekend especially when you are involve in marketing scope.,you have to give full commitment to this organisation even in weekend especially when you are involve in marketing scope.,you have to give full commitment to this organisation even in weekend especially when you are involve in marketing scope.,False,False,[]
Negative,although there will be some bad apples which can be found in any company tbh, although there will be some bad apples (which can be found in any company tbh), although there will be some bad apples (which can be found in any company tbh), although there will be some bad apples (which can be found in any company to be honest),False,True,[]
Negative,comprehensive benefits with concerns over operational balance and promotion fairness,comprehensive benefits with concerns over operational balance and promotion fairness,comprehensive benefits with concerns over operational balance and promotion fairness,comprehensive benefits with concerns over operational balance and promotion fairness,False,False,[]
Negative,stress if there is any accidental mistake that we didn't notice and need to re do whole thing,stress if there is any accidental mistake that we didn't notice and need to re do whole thing.,stress if there is any accidental mistake that we didn't notice and need to re do whole thing.,stress if there is any accidental mistake that we did not notice and need to re do whole thing.,False,True,[]
Negative,in the spend of months the company had change its guidelines times which effect the sales department heavily,"in the spend of 6 months, the company had change its guidelines 4 times which effect the sales department heavily.","in the spend of 6 months, the company had change its guidelines 4 times which effect the sales department heavily.","in the spend of 6 months, the company had change its guidelines 4 times which effect the sales department heavily.",False,False,[]
Negative,high expectation and workload,high expectation and workload,high expectation and workload,high expectation and workload,False,False,[]
Positive,you will think a lot of time if you want to resign because of the benefits,you will think a lot of time if you want to resign because of the benefits,you will think a lot of time if you want to resign because of the benefits,you will think a lot of time if you want to resign because of the benefits,False,False,[]
Positive,fun and good environment is okay,"fun and good, environment is ok.","fun and good, environment is ok.","fun and good, environment is ok.",False,False,[]
Negative,not many clients will prefer bankname,not many clients will prefer rhb.,not many clients will prefer rhb.,not many clients will prefer rhb.,False,False,[]
Positive,it was good,it was good.,it was good.,it was good.,False,False,[]
Negative,low increment,low increament,low increament,low increament,False,False,[]
Negative,systems are fine except i only encounter difficulties with system it needs to be redesigned to a friendlier interface at least for those agents,"systems are fine except i only encounter difficulties with r*w**, it needs to be redesigned to a friendlier interface at least for those agents.","systems are fine except i only encounter difficulties with r*w**, it needs to be redesigned to a friendlier interface at least for those agents.","systems are fine except i only encounter difficulties with r*w**, it needs to be redesigned to a friendlier interface at least for those agents.",False,False,[]
Positive,monetary benefits is fine,monetary benefits is fine ,monetary benefits is fine ,monetary benefits is fine ,False,False,[]
Negative,need to stay back without paying overtime,need to stay back without paying ot.,need to stay back without paying ot.,need to stay back without paying ot.,False,False,[]
Positive,flexible and relax environment, flexible and relax environment , flexible and relax environment , flexible and relax environment ,False,False,[]
Positive,opportunity to learn a lot however i was hired as a outsourcing staff,opportunity to learn a lot however i was hired as a outsourcing staff.,opportunity to learn a lot however i was hired as a outsourcing staff.,opportunity to learn a lot however i was hired as a outsourcing staff.,False,False,[]
Positive,the commission given is quite higher than another bank,the commission given is quite higher than another bank.,the commission given is quite higher than another bank.,the commission given is quite higher than another bank.,False,False,[]
Positive,have graduate and certification if pass the exam and roleplay,have graduate and certification if pass the exam and roleplay,have graduate and certification if pass the exam and roleplay,have graduate and certification if pass the exam and roleplay,False,False,[]
Negative,facing challenges to deal with current systems and process,facing challenges to deal with current systems and process.,facing challenges to deal with current systems and process.,facing challenges to deal with current systems and process.,False,False,[]
Positive,but can learn a lot of knowledge,but can learn a lot of knowledge,but can learn a lot of knowledge,but can learn a lot of knowledge,False,False,[]
Negative,some employees in the it department work in a semi basement that doesn't see a lot of sunlight during the day,some employees in the it department work in a semi-basement that doesn't see a lot of sunlight during the day.,some employees in the it department work in a semi-basement that doesn't see a lot of sunlight during the day.,some employees in the it department work in a semi-basement that does not see a lot of sunlight during the day.,False,True,[]
Negative,good to try as probation only hahaha,good to try as probation only hahaha.,good to try as probation only hahaha.,good to try as probation only hahaha.,False,False,[]
Negative,need to review the benefits structure transparency of promotion,"need to review the benefits structure, transparency of promotion","need to review the benefits structure, transparency of promotion","need to review the benefits structure, transparency of promotion",False,False,[]
Positive,typical day at work is okay,typical day at work is ok .,typical day at work is ok .,typical day at work is ok .,False,False,[]
Positive,key performance indicator is very agile adjustable,"kpi is very agile, adjustable.","kpi is very agile, adjustable.","kpi is very agile, adjustable.",False,False,[]
Positive,some department are more flexible,some department are more flexible.,some department are more flexible.,some department are more flexible.,False,False,[]
Negative,learned nothing,learned nothing,learned nothing,learned nothing,False,False,[]
Negative,however team is very lean therefore it can be stressful at times and things are fast paced,"however, team is very lean, therefore it can be stressful at times and things are fast paced.","however, team is very lean, therefore it can be stressful at times and things are fast paced.","however, team is very lean, therefore it can be stressful at times and things are fast paced.",False,False,[]
Positive,flexible lunch time,flexible lunch time,flexible lunch time,flexible lunch time,False,False,[]
Positive,good for beginner,good for beginner,good for beginner,good for beginner,False,False,[]
Positive,benefits salary for fresh graduates overtime claims,benefits/salary for fresh graduates/ ot claims,benefits/salary for fresh graduates/ ot claims,benefits/salary for fresh graduates/ ot claims,False,False,[]
Negative,long hours,long hours,long hours,long hours,False,False,[]
Negative,but the workload will be more than expected due to manpower shortages,but the workload will be more than expected due to manpower shortages.,but the workload will be more than expected due to manpower shortages.,but the workload will be more than expected due to manpower shortages.,False,False,[]
Positive,fun mix stress,fun mix stress,fun mix stress,fun mix stress,False,False,[]
Negative,less guidance,less guidance,less guidance,less guidance,False,False,[]
Negative,not many incentive for protege,not many incentive for protege.,not many incentive for protege.,not many incentive for protege.,False,False,[]
Positive,top largest bank in placename,top 5 largest bank in malaysia,top 5 largest bank in malaysia,top 5 largest bank in malaysia,False,False,[]
Negative,i hope for a better insurance benefit for dependents salary base,i hope for a better insurance benefit for dependents & salary base.,i hope for a better insurance benefit for dependents & salary base.,i hope for a better insurance benefit for dependents & salary base.,False,False,[]
Positive,outpatient dental optical health check up coverage travelling claim,"outpatient, dental, optical, health check-up coverage, travelling claim","outpatient, dental, optical, health check-up coverage, travelling claim","outpatient, dental, optical, health check-up coverage, travelling claim",False,False,[]
Positive,so far so good,so far so good.,so far so good.,so far so good.,False,False,[]
Positive,monday friday friendly environment,mon - fri friendly environment ,mon - fri friendly environment ,mon - fri friendly environment ,False,False,[]
Positive,bonus could be up to months in general,bonus could be up to 3-4 months in general.,bonus could be up to 3-4 months in general.,bonus could be up to 3-4 months in general.,False,False,[]
Negative,but the basic salary that this company offer was to low,but the basic salary that this company offer was to low.,but the basic salary that this company offer was to low.,but the basic salary that this company offer was to low.,False,False,[]
Negative,like most banks the workload can be overwhelming with employees often expected to handle multiple responsibilities tight deadlines and high performance targets,"like most banks, the workload can be overwhelming, with employees often expected to handle multiple responsibilities, tight deadlines, and high-performance targets.","like most banks, the workload can be overwhelming, with employees often expected to handle multiple responsibilities, tight deadlines, and high-performance targets.","like most banks, the workload can be overwhelming, with employees often expected to handle multiple responsibilities, tight deadlines, and high-performance targets.",False,False,[]
Negative,had to leave after year contract,had to leave after 1 year contract.,had to leave after 1 year contract.,had to leave after 1 year contract.,False,False,[]
Positive,professional environment,profesional environment,profesional environment,profesional environment,False,False,[]
Negative,frequent re org reorganization restructuring due to change to the top management,frequent re-org/rorg restructuring due to change to the top management,frequent re-org/rorg restructuring due to change to the top management,frequent re-org/rorg restructuring due to change to the top management,False,False,[]
Negative,no flexible working hours and no remote,no flexible working hours and no remote.,no flexible working hours and no remote.,no flexible working hours and no remote.,False,False,[]
Positive,easy to apply,easy to apply.,easy to apply.,easy to apply.,False,False,[]
Positive,overall i think my pay are decent while workload and working culture depends on your department,overall i think my pay are decent while workload and working culture depends on your department.,overall i think my pay are decent while workload and working culture depends on your department.,overall i think my pay are decent while workload and working culture depends on your department.,False,False,[]
Positive,can learn something from bankname and make it as you stepping stone,can learn something from pb and make it as you stepping stone,can learn something from pb and make it as you stepping stone,can learn something from pb and make it as you stepping stone,False,False,[]
Negative,not much diversity as well,not much diversity as well.,not much diversity as well.,not much diversity as well.,False,False,[]
Positive,department dependent decent experience,"department-dependent, decent experience","department-dependent, decent experience","department-dependent, decent experience",False,False,[]
Positive,working environment okay,"working environment ok, ","working environment ok, ","working environment ok, ",False,False,[]
Negative,benefits were below average,benefits were below average.,benefits were below average.,benefits were below average.,False,False,[]
Negative,but overload with work,but overload with work,but overload with work,but overload with work,False,False,[]
Negative,work life balance don't even think about it,work-life balance don't even think about it.,work-life balance don't even think about it.,work-life balance do not even think about it.,False,True,[]
Positive,can learn a lot of financial knowledge and pitching skill,can learn alot of financial knowledge and pitching skill.,can learn alot of financial knowledge and pitching skill.,can learn alot of financial knowledge and pitching skill.,False,False,[]
Negative,overall the management and the way they handle the process of everything is super old school they still have typewriters to write on vouchers,"overall the management and the way they handle the process of everything is super old school, they still have typewriters to write on vouchers.","overall the management and the way they handle the process of everything is super old school, they still have typewriters to write on vouchers.","overall the management and the way they handle the process of everything is super old school, they still have typewriters to write on vouchers.",False,False,[]
Positive,while the salary structure varies based on the position and level of experience bankname employees typically enjoy competitive pay scales that are often revised based on recommendations from government pay commissions,"while the salary structure varies based on the position and level of experience, public bank employees typically enjoy competitive pay scales that are often revised based on recommendations from government pay commissions.","while the salary structure varies based on the position and level of experience, public bank employees typically enjoy competitive pay scales that are often revised based on recommendations from government pay commissions.","while the salary structure varies based on the position and level of experience, public bank employees typically enjoy competitive pay scales that are often revised based on recommendations from government pay commissions.",False,False,[]
Positive,additionally bankname employees often have more structured career paths including promotional avenues that lead to higher pay grades and responsibilities,"additionally, public bank employees often have more structured career paths, including promotional avenues that lead to higher pay grades and responsibilities.","additionally, public bank employees often have more structured career paths, including promotional avenues that lead to higher pay grades and responsibilities.","additionally, public bank employees often have more structured career paths, including promotional avenues that lead to higher pay grades and responsibilities.",False,False,[]
Negative,if you need to a higher career development and lots benefits can option with other company,"if you need to a higher career development and lots benefits, can option with other company.","if you need to a higher career development and lots benefits, can option with other company.","if you need to a higher career development and lots benefits, can option with other company.",False,False,[]
Positive,this allows staff and trainees to understand the full hire purchase financing cycle particularly for vehicle loans,"this allows staff and trainees to understand the full hire purchase financing cycle, particularly for vehicle loans.","this allows staff and trainees to understand the full hire purchase financing cycle, particularly for vehicle loans.","this allows staff and trainees to understand the full hire purchase financing cycle, particularly for vehicle loans.",False,False,[]
Positive,location is strategic,location is strategic.,location is strategic.,location is strategic.,False,False,[]
Positive,try banking if you love doing sales,try banking if you love doing sales.,try banking if you love doing sales.,try banking if you love doing sales.,False,False,[]
Negative,wished i check glassdoor reviews before joining,wished i check glassdoor reviews before joining.,wished i check glassdoor reviews before joining.,wished i check glassdoor reviews before joining.,False,False,[]
Negative,despite the lack of support, despite the lack of support., despite the lack of support., despite the lack of support.,False,False,[]
Negative,i always saw my colleagues were always working during their annual leaves and weekends in the office for the whole day due to strict deadlines set by international organization for standardization regulations,'- i always saw my colleagues were always working during their annual leaves and weekends in the office for the whole day due to strict deadlines set by iso regulations,'- i always saw my colleagues were always working during their annual leaves and weekends in the office for the whole day due to strict deadlines set by iso regulations,'- i always saw my colleagues were always working during their annual leaves and weekends in the office for the whole day due to strict deadlines set by iso regulations,False,False,[]
Negative,however there are significant challenges regarding work life balance particularly in operations where the workload is often overwhelming,"however, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming.","however, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming.","however, there are significant challenges regarding work-life balance, particularly in operations where the workload is often overwhelming.",False,False,[]
Negative,as usual stress to get year end target met,as usual stress to get year enda target met.,as usual stress to get year enda target met.,as usual stress to get year enda target met.,False,False,[]
Negative,need to always on standby mode,need to always on standby mode.,need to always on standby mode.,need to always on standby mode.,False,False,[]
Negative,no guidance given to newbies,'-no guidance given to newbies,'-no guidance given to newbies,'-no guidance given to newbies,False,False,[]
Negative,a good place to start but in term of job culture is slight disappointing,a good place to start but in term of job culture is slight disappointing,a good place to start but in term of job culture is slight disappointing,a good place to start but in term of job culture is slight disappointing,False,False,[]
Positive,however staff benefits are generally better than other banks,"however, staff benefits are generally better than other banks.","however, staff benefits are generally better than other banks.","however, staff benefits are generally better than other banks.",False,False,[]
Negative,system part a bit outdated as time consuming is a concern,system part a bit outdated as time consuming is a concern.,system part a bit outdated as time consuming is a concern.,system part a bit outdated as time consuming is a concern.,False,False,[]
Negative,working hour not flexible,working hour not flexible.,working hour not flexible.,working hour not flexible.,False,False,[]
Positive,that being said you get to learn a great deal about mortgages banking and lending,"that being said, you get to learn a great deal about mortgages, banking and lending.","that being said, you get to learn a great deal about mortgages, banking and lending.","that being said, you get to learn a great deal about mortgages, banking and lending.",False,False,[]
Positive,day to day work very easy but need to be careful due to working with money after all,"day to day work very easy, but need to be careful due to working with money after all.","day to day work very easy, but need to be careful due to working with money after all.","day to day work very easy, but need to be careful due to working with money after all.",False,False,[]
Positive,everything is good,everything is good.,everything is good.,everything is good.,False,False,[]
Negative,initiatives for better working environment should be implemented,initiatives for better working environment should be implimented.,initiatives for better working environment should be implimented.,initiatives for better working environment should be implimented.,False,False,[]
Negative,very restricted working environment,very restricted working environment.,very restricted working environment.,very restricted working environment.,False,False,[]
Negative,highly sales oriented culture performance measurement more focus on individual contributor event for non sales staff,"highly sales oriented culture, performance measurement more focus on individual contributor, event for non sales staff","highly sales oriented culture, performance measurement more focus on individual contributor, event for non sales staff","highly sales oriented culture, performance measurement more focus on individual contributor, event for non sales staff",False,False,[]
Positive,discounted rate for company cafeteria tentative work from home policy learning programme,"discounted rate for company cafeteria, tentative work from home policy, learning programme","discounted rate for company cafeteria, tentative work from home policy, learning programme","discounted rate for company cafeteria, tentative work from home policy, learning programme",False,False,[]
Positive,overall not bad training provided attractive remuneration package,"overall not bad, training provided, attractive remuneration package","overall not bad, training provided, attractive remuneration package","overall not bad, training provided, attractive remuneration package",False,False,[]
Positive,okay to work,ok to work,ok to work,ok to work,False,False,[]
Negative,office politics,office politics,office politics,office politics,False,False,[]
Negative,key performance indicator hard to achieve but once achieved the feeling cannot be described,kpi hard to achieve but once achieved the feeling cannot be described.,kpi hard to achieve but once achieved the feeling cannot be described.,kpi hard to achieve but once achieved the feeling cannot be described.,False,False,[]
Negative,have a good company but not a good superior learned a lot from senior and also from other tribe,"have a good company but not a good superior, learned a lot from senior and also from other tribe .","have a good company but not a good superior, learned a lot from senior and also from other tribe .","have a good company but not a good superior, learned a lot from senior and also from other tribe .",False,False,[]
Negative,but in sale have to deal with a lot of pressure,"but in sale, have to deal with a lot of pressure.","but in sale, have to deal with a lot of pressure.","but in sale, have to deal with a lot of pressure.",False,False,[]
Negative,ended up working hours most days and weekends too,ended up working 12 hours most days and weekends too.,ended up working 12 hours most days and weekends too.,ended up working 12 hours most days and weekends too.,False,False,[]
Positive,but got good colleagues that can help from time to time,but got good colleagues that can help from time to time.,but got good colleagues that can help from time to time.,but got good colleagues that can help from time to time.,False,False,[]
Negative,they tends to talk to you politely and keep nagging to work hard,they tends to talk to you politely and keep nagging to work hard.,they tends to talk to you politely and keep nagging to work hard.,they tends to talk to you politely and keep nagging to work hard.,False,False,[]
Positive,computer provided allowance high and also have training to build intern knowledge to enter work environment,computer provided allowance high and also have training to build intern knowledge to enter work enviroment,computer provided allowance high and also have training to build intern knowledge to enter work enviroment,computer provided allowance high and also have training to build intern knowledge to enter work enviroment,False,False,[]
Positive,other than that it train your multitasking skill as well,"other than that, it train your multitasking skill as well","other than that, it train your multitasking skill as well","other than that, it train your multitasking skill as well",False,False,[]
Negative,long working hours are common particularly in departments such as sales credit analysis and customer service,"long working hours are common, particularly in departments such as sales, credit analysis, and customer service.","long working hours are common, particularly in departments such as sales, credit analysis, and customer service.","long working hours are common, particularly in departments such as sales, credit analysis, and customer service.",False,False,[]
Positive,overall fine to work in bank under sales department,overall fine to work in bank under sales department.,overall fine to work in bank under sales department.,overall fine to work in bank under sales department.,False,False,[]
Positive,the culture can be improved with good leader and cooperation,the culture can be improved with good leader and cooperation.,the culture can be improved with good leader and cooperation.,the culture can be improved with good leader and cooperation.,False,False,[]
Positive,fair salary for fresh,fair salary for fresh,fair salary for fresh,fair salary for fresh,False,False,[]
Positive,good for beginners,good for beginners,good for beginners,good for beginners,False,False,[]
Positive,good for stable life,good for stable life.,good for stable life.,good for stable life.,False,False,[]
Negative,however they just simply terminated all the contract staff without notice,however they just simply terminated all the contract staff without notice,however they just simply terminated all the contract staff without notice,however they just simply terminated all the contract staff without notice,False,False,[]
Positive,staff got a lot of annual leave,staff got a lot of al,staff got a lot of al,staff got a lot of al,False,False,[]
Negative,the only things is difficult to get referral for small branches,the only things is difficult to get reffaller for small branches,the only things is difficult to get reffaller for small branches,the only things is difficult to get reffaller for small branches,False,False,[]
Negative,but not appreciating protege or graduate level, but not appreciating protege or graduate lvl., but not appreciating protege or graduate lvl., but not appreciating protege or graduate lvl.,False,False,[]
Positive,if you fresh graduate and want to learn a new skill,if you fresh graduate and want to learn a new skill.,if you fresh graduate and want to learn a new skill.,if you fresh graduate and want to learn a new skill.,False,False,[]
Positive,enjoyable in term of benefit and good friends,enjoyable in term of benefit and good friends.,enjoyable in term of benefit and good friends.,enjoyable in term of benefit and good friends.,False,False,[]
Positive,the environment is chill colleagues are kind and are willing to assist if faced with issues,"the enviroment is chill, collegues are kind and are willing to assist if faced with issues.","the enviroment is chill, collegues are kind and are willing to assist if faced with issues.","the enviroment is chill, collegues are kind and are willing to assist if faced with issues.",False,False,[]
Positive,good team but salary to low at airport,"good team, but salary to low at airport","good team, but salary to low at airport","good team, but salary to low at airport",False,False,[]
Positive,overall it was a nice company to working with,overall it was a nice company to working with.,overall it was a nice company to working with.,overall it was a nice company to working with.,False,False,[]
Positive,however remuneration package is good,"however, remuneration package is good.","however, remuneration package is good.","however, remuneration package is good.",False,False,[]
Negative,not support newcomer,not support newcommer.,not support newcommer.,not support newcommer.,False,False,[]
Negative,always pass the job back to you,always pass the job back to you,always pass the job back to you,always pass the job back to you,False,False,[]
Negative,luckily teamwork is awesome but can't say the same about the manager and salary,luckily teamwork is awesome but can't say the same about the manager and salary.,luckily teamwork is awesome but can't say the same about the manager and salary.,luckily teamwork is awesome but cannot say the same about the manager and salary.,False,True,[]
Positive,while there were challenges along the way the positives outweighed the negatives,"while there were challenges along the way, the positives outweighed the negatives.","while there were challenges along the way, the positives outweighed the negatives.","while there were challenges along the way, the positives outweighed the negatives.",False,False,[]
Negative,it is not wrong to use the offer contract thru agency but if the employee already work more than year with a good results offer them permanent position,"it is not wrong to use the offer contract thru agency but if the employee already work more than 1 year with a good results, offer them permanent position.","it is not wrong to use the offer contract thru agency but if the employee already work more than 1 year with a good results, offer them permanent position.","it is not wrong to use the offer contract thru agency but if the employee already work more than 1 year with a good results, offer them permanent position.",False,False,[]
Negative,hard to streamline processes to avoid manual work,hard to streamline processes to avoid manual work.,hard to streamline processes to avoid manual work.,hard to streamline processes to avoid manual work.,False,False,[]
Negative,okay okay not so good for sales target always pressure about target from upper management for trying is okay but for long term is not suitable because based on target,"ok ok , not so good for sales target, always pressure about target from upper management ,for trying is ok but for long term is not suitable because based on target","ok ok , not so good for sales target, always pressure about target from upper management ,for trying is ok but for long term is not suitable because based on target","ok ok , not so good for sales target, always pressure about target from upper management ,for trying is ok but for long term is not suitable because based on target",False,False,[]
Positive,as entry level this is a good starter,"as entry level, this is a good starter.","as entry level, this is a good starter.","as entry level, this is a good starter.",False,False,[]
Positive,good for stable life,good for stable life,good for stable life,good for stable life,False,False,[]
Negative,turnover rate is high,turnover rate is high.,turnover rate is high.,turnover rate is high.,False,False,[]
Positive,they easily hire fresh grad,they easily hire fresh grad.,they easily hire fresh grad.,they easily hire fresh grad.,False,False,[]
Negative,not supportive manager,not supportive manager.,not supportive manager.,not supportive manager.,False,False,[]
Negative,high targets but performance not fairly recognised,"high targets, but performance not fairly recognised.","high targets, but performance not fairly recognised.","high targets, but performance not fairly recognised.",False,False,[]
Negative,there this lecturing session which top management will come down and have a meeting with all sales employees at one of the branch,there's this lecturing session which top management will come down and have a meeting with all sales employees at one of the branch.,there's this lecturing session which top management will come down and have a meeting with all sales employees at one of the branch.,there is this lecturing session which top management will come down and have a meeting with all sales employees at one of the branch.,False,True,[]
Positive,good experience,good experience,good experience,good experience,False,False,[]
Positive,overall is a good opportunity for an internship placement,overall is a good oppertunity for an internship placement.,overall is a good oppertunity for an internship placement.,overall is a good oppertunity for an internship placement.,False,False,[]
Negative,they have too much power and no one can question them,they have too much power and no one can question them.,they have too much power and no one can question them.,they have too much power and no one can question them.,False,False,[]
Positive,good workplace but overload task,good workplace but overload task,good workplace but overload task,good workplace but overload task,False,False,[]
Positive,open to feedback work life balance culture slow increment and promotion,"open to feedback, work life balance culture, slow increment and promotion.","open to feedback, work life balance culture, slow increment and promotion.","open to feedback, work life balance culture, slow increment and promotion.",False,False,[]
Positive,top local bank in placename,top 4 local bank in malaysia,top 4 local bank in malaysia,top 4 local bank in malaysia,False,False,[]
Negative,long working hours n no work from home,long working hours n no wfh,long working hours n no wfh,long working hours n no wfh,False,False,[]
Positive,overall its a great place to learn,overall its a great place to learn.,overall its a great place to learn.,overall its a great place to learn.,False,False,[]
Negative,long working hours,long working hours,long working hours,long working hours,False,False,[]
Positive,good workplace overall,good workplace overall,good workplace overall,good workplace overall,False,False,[]
Negative,however lack of guidance and training provided,however lack of guidance and training provided.,however lack of guidance and training provided.,however lack of guidance and training provided.,False,False,[]
Negative,expected to overtime everyday and even on weekends without getting paid overtime,expected to ot everday and even on weekends without getting paid ot.,expected to ot everday and even on weekends without getting paid ot.,expected to ot everday and even on weekends without getting paid ot.,False,False,[]
Negative,turnover rate is quite high,turnover rate is quite high,turnover rate is quite high,turnover rate is quite high,False,False,[]
Positive,environment was good,environment was good.,environment was good.,environment was good.,False,False,[]
Positive,a lot people that you can meet,a lot people that you can meet.,a lot people that you can meet.,a lot people that you can meet.,False,False,[]
Negative,no standard guidelines can follow not sure whether is the manager itself problem,no standard guidelines can follow (not sure whether is the manager itself problem).,no standard guidelines can follow (not sure whether is the manager itself problem).,no standard guidelines can follow (not sure whether is the manager itself problem).,False,False,[]
Negative,it was hectic working,it was hectic working.,it was hectic working.,it was hectic working.,False,False,[]
Positive,clearer fairer systems would build more trust and motivation among the team,"clearer, fairer systems would build more trust and motivation among the team.","clearer, fairer systems would build more trust and motivation among the team.","clearer, fairer systems would build more trust and motivation among the team.",False,False,[]
Positive,structured training is provided as well,structured training is provided as well.,structured training is provided as well.,structured training is provided as well.,False,False,[]
Negative,work pace is slow at my team,work pace is slow at my team,work pace is slow at my team,work pace is slow at my team,False,False,[]
Negative,need to stay back without pay overtime,need to stay back without pay ot.,need to stay back without pay ot.,need to stay back without pay ot.,False,False,[]
Positive,benefit is good,benefit is good.,benefit is good.,benefit is good.,False,False,[]
Positive,training by professional team,training by professional team,training by professional team,training by professional team,False,False,[]
Positive,learn a lot,learn a lot,learn a lot,learn a lot,False,False,[]
Positive,overall everyone feel welcome,"overall, everyone feel welcome.","overall, everyone feel welcome.","overall, everyone feel welcome.",False,False,[]
Positive,flexible hybrid,flexible hybrid,flexible hybrid,flexible hybrid,False,False,[]
Positive,have allowance and good medical insurance,have allowance and good medical insurance,have allowance and good medical insurance,have allowance and good medical insurance,False,False,[]
Negative,agile title but with old mindset spent too much customization on legacy system instead of determine to revamp it,"agile title but with old mindset, spent too much customization on legacy system instead of determine to revamp it","agile title but with old mindset, spent too much customization on legacy system instead of determine to revamp it","agile title but with old mindset, spent too much customization on legacy system instead of determine to revamp it",False,False,[]
Positive,can learn lot of new things and how to solve it,can learn lot of new things and how to solve it.,can learn lot of new things and how to solve it.,can learn lot of new things and how to solve it.,False,False,[]
Positive,colleague helpful,colleague helpful.,colleague helpful.,colleague helpful.,False,False,[]
Negative,salary below market average,salary below market average,salary below market average,salary below market average,False,False,[]
Positive,honestly the people in my team are nice,"honestly the people in my team are nice,","honestly the people in my team are nice,","honestly the people in my team are nice,",False,False,[]
Positive,management is competent,management is competent.,management is competent.,management is competent.,False,False,[]
Negative,the recent acquisition of citiâs business appears to have been poorly managed leading to a hiring freeze post merger,"the recent acquisition of citiâs business appears to have been poorly managed, leading to a hiring freeze post-merger.","the recent acquisition of citi's business appears to have been poorly managed, leading to a hiring freeze post-merger.","the recent acquisition of citi's business appears to have been poorly managed, leading to a hiring freeze post-merger.",True,False,[]
Positive,other than that good benefits and bonus,"other than that, good benefits and bonus","other than that, good benefits and bonus","other than that, good benefits and bonus",False,False,[]
Positive,staff benefits,staff benefits,staff benefits,staff benefits,False,False,[]
Positive,able to learn about market,able to learn about market,able to learn about market,able to learn about market,False,False,[]
Negative,good working environment but no promotion,good working enviroment but no promotion.,good working enviroment but no promotion.,good working enviroment but no promotion.,False,False,[]
Positive,unlimited medical coverage,unlimited medical coverage,unlimited medical coverage,unlimited medical coverage,False,False,[]
